id,name,sport,level,start_date,end_date,official_url,streaming_links,image_url,summary,created_at
6,Pro Kabaddi League,kabaddi,national,2024-10-05,2024-12-15,https://prokabaddi.com,Star Sports,https://source.unsplash.com/400x300/?kabaddi,India premier kabaddi league,2025-08-09 06:17:47
2,ICC Cricket World Cup,cricket,international,2024-10-15,2024-11-20,https://icc-cricket.com,Star Sports,https://source.unsplash.com/400x300/?cricket,The biggest cricket tournament in the world,2025-08-09 06:17:47
10,School Table Tennis,table tennis,school,2024-10-25,2024-10-27,https://schoolsports.gov.in,Local TV,https://source.unsplash.com/400x300/?tabletennis,District school table tennis championship,2025-08-09 06:17:47
8,Inter-College Basketball,basketball,college,2024-11-15,2024-11-30,https://delhiuniversity.ac.in,College TV,https://source.unsplash.com/400x300/?basketball,Delhi colleges basketball championship,2025-08-09 06:17:47
3,FIFA World Cup,football,international,2024-12-01,2024-12-31,https://fifa.com,ESPN,https://source.unsplash.com/400x300/?football,The most watched football tournament globally,2025-08-09 06:17:47
12,Corporate Cricket League,cricket,corporate,2024-12-05,2024-12-25,https://cclbangalore.com,Local streaming,https://source.unsplash.com/400x300/?cricket,Bangalore IT companies cricket tournament,2025-08-09 06:17:47
9,State Chess Championship,chess,state,2024-12-20,2024-12-28,https://keralachess.com,Chess.com,https://source.unsplash.com/400x300/?chess,Kerala top chess players compete,2025-08-09 06:17:47
13,City Cycling Championship,cycling,district,2025-01-05,2025-01-05,https://mumbai.gov.in,Local TV,https://source.unsplash.com/400x300/?cycling,Mumbai annual cycling championship,2025-08-09 06:17:47
5,Mumbai Marathon,running,national,2025-01-19,2025-01-19,https://mumbaimarathon.com,Sony Sports,https://source.unsplash.com/400x300/?marathon,India biggest marathon event,2025-08-09 06:17:47
7,National Swimming Championships,swimming,national,2025-02-10,2025-02-15,https://swimmingindia.org,DD Sports,https://source.unsplash.com/400x300/?swimming,Top swimmers compete for national titles,2025-08-09 06:17:47
4,All England Open,badminton,international,2025-03-12,2025-03-17,https://allenglandopen.com,BBC Sport,https://source.unsplash.com/400x300/?badminton,Premier badminton championship,2025-08-09 06:17:47
11,International Yoga Day,yoga,international,2025-06-21,2025-06-21,https://yogachampionship.org,Yoga TV,https://source.unsplash.com/400x300/?yoga,Global yoga practitioners demonstrate skills,2025-08-09 06:17:47
